Channel Title,Message
Sheger online-store,"🎯 Facial Vacuum Blackhead and Acne pore Skin Cleaner XN-8030

ዋጋ፦    900 ብር

📌🚚 ያሉበት ድረስ በነፃ እናደርሳለን 🚚
    
📲0909522840
📲0923350054"
Sheger online-store,"💥Traceless patch soap box 

✔️የራሱ መለጠፊያ ስላለው ግድግዳ መብሳት አያስፈልግም
✔️ ሁለት ሳሙናዎችን  የሚይዝ
✨strong and durable
✨can be water proof,oil proof and dust proof

      ዋጋ፦ ✅ 350 ብር


🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
Sheger online-store,"🎯 Long Handle Pot Brush 

🔰የእቃ ማጠቢያ ብሩሽ  የራሱ ሳሙና መያዣ ያለዉ 
🔰Comes with 2 types of easy-to-replace brush heads. 
🔰Detergent can be added, press the non-slip button to release the soap flow when in use. 
🔰The brush head is not easy to stick oil and easy to clean. 
🔰Ergonomic design: easy to apply force, can be used for heavy cleaning, and the brush has good slip resistance

    ዋጋ:-350ብር

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"✅ Kitchen Faucet Sink Sponge metal Hanging Tap Hanging Storage Holder Rack 
 No drilling needed.

❌Available Color - Black only 

✅ 💰 400 ብር


ውስን ፍሬ ነው የቀረው ❌❌

📍ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ  👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05 (ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"💥 5 in 1 Electric Magic Cleaning Brush
         💯 High Quality 

👉 High cleaning efficiency, good grip and abrasion resistance, sturdy and durable

👉 For Cleaning tub, table, washing basin, kitchen sink, toilet, window glass..

👉 Power Source:  4*AA Batteries(not included) / USB Charging


✔️Power: 3W
✔️Voltage: 5V
✔️Battery: 1500mAh
✔️Color: White
✔️Charging time: about 2-3 hours
Working time: continuous work in 1.5 hours


           ዋጋ፦ ✅ 950 ብር

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
Sheger online-store,
Sheger online-store,"ታላቅ የምስራች

መጋዘኖች ፋብሪካዎች ለቡቲክ ለሱቅ እንዲሁም ለተለያዩ ድርጅቶች  ምቹ የሆነውን የንብረት አያያዝ እና አቆጣጠር ይዘን መተናል
ይህ መተግብሪያ በየትኛውም አካባቢ ሆነው በኢንተርኔት አማካኝነት ሊጠቀሙበት እና ሊከታተሉበት የሚቻል ሲሆን
ወጪ ገቢ / ግዚ እና ሽያጭ / ትርፍ እና ኪሳራ / ከ10 በላይ የተለያዩ ሪፖርት የሚያደርግ እንዲሁም 
ለሽያጭ ያቀረብነውን ከመጋዘን ወይም ከመሸጫ ቦታችን ዕቃ ሲያልቅ ቶሎ የሚያሳውቀን  እንዲሁም 
ለሎች ጥቅሞችን የያዘ ነው

Www.lebawi.net/ims

0924067895

ለበለጠ መረጃ ይደውሉ
https://t.me/Swaptechnologyplc"
Sheger online-store,"🌟 GLASS WATER JUG

👍የውሃ ማቅረቢያ
👍ውብ እና ማራኪ 
👍እስከ 400°c ሙቀት መቋቋም ስለሚችል ስቶቭ ላይ መጣድ የሚችል
👍ከፍተኛ ጥራት ያለው 💯


      ዋጋ:-1200ብር💲


🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
